customer_id,tenure,monthly_charges,support_calls,contract,region,customer_status,churn
CUST-00000,7,63.11,3,Month-to-month,East,Churned,1
CUST-00001,55,29.85,2,One year,East,Active,0
CUST-00002,47,35.66,4,Two year,West,Active,0
CUST-00003,32,107.58,4,One year,West,Churned,1
CUST-00004,31,39.25,2,Month-to-month,South,Active,0
CUST-00005,61,43.06,1,Month-to-month,West,Active,0
CUST-00006,7,101.74,0,Month-to-month,North,Active,0
CUST-00007,50,,0,Month-to-month,South,Active,0
CUST-00008,15,41.57,1,One year,East,Active,0
CUST-00009,7,57.64,1,Month-to-month,North,Churned,1
CUST-00010,38,71.83,4,One year,South,Active,0
CUST-00011,70,99.57,0,Two year,East,Active,0
CUST-00012,53,45.26,1,Two year,East,Active,0
CUST-00013,55,60.09,1,Month-to-month,North,Active,0
CUST-00014,51,80.55,1,Month-to-month,South,Active,0
CUST-00015,56,73.7,0,Month-to-month,North,Churned,1
CUST-00016,37,57.48,2,Month-to-month,East,Active,0
CUST-00017,10,62.32,4,Month-to-month,South,Churned,1
CUST-00018,60,37.5,0,Month-to-month,East,Active,0
CUST-00019,32,60.24,2,One year,East,Active,0
CUST-00020,36,59.67,1,Month-to-month,West,Active,0
CUST-00021,27,69.64,2,Two year,North,Active,0
CUST-00022,13,53.89,2,Month-to-month,West,Churned,1
CUST-00023,66,74.43,3,Month-to-month,North,Active,0
CUST-00024,56,85.25,4,Month-to-month,North,Churned,1
CUST-00025,46,68.11,3,Month-to-month,North,Active,0
CUST-00026,29,72.04,3,Month-to-month,North,Active,0
CUST-00027,59,66.06,2,Two year,West,Active,0
CUST-00028,39,65.0,3,Month-to-month,North,Active,0
CUST-00029,32,50.57,3,Month-to-month,East,Churned,1
CUST-00030,32,71.33,4,One year,South,Active,0
CUST-00031,17,63.05,3,Month-to-month,North,Churned,1
CUST-00032,7,106.86,2,One year,South,Churned,1
CUST-00033,40,96.47,4,Month-to-month,North,Churned,1
CUST-00034,64,72.72,2,Two year,South,Active,0
CUST-00035,5,49.74,3,Month-to-month,East,Churned,1
CUST-00036,61,,1,Month-to-month,East,Active,0
CUST-00037,59,88.82,1,One year,South,Active,0
CUST-00038,20,70.25,1,Two year,West,Active,0
CUST-00039,45,74.6,2,Month-to-month,East,Churned,1
CUST-00040,12,30.11,0,One year,South,Active,0
CUST-00041,54,83.55,3,Month-to-month,South,Active,0
CUST-00042,50,74.09,1,Month-to-month,North,Active,0
CUST-00043,26,42.79,1,Month-to-month,West,Active,0
CUST-00044,5,55.57,0,One year,West,Active,0
CUST-00045,69,70.27,4,Month-to-month,South,Active,0
CUST-00046,32,66.05,1,One year,East,Active,0
